sample_id,treatment,crop,harvest,drought,planted
DNA_11,Control_Shade,switchgrass,neg-control,neg-control,neg-control
DNA_12,Control_Shade,switchgrass,neg-control,neg-control,neg-control
DNA_23_neg,Control_Shade,switchgrass,neg-control,neg-control,neg-control
DNA_24_neg,Control_Shade,switchgrass,neg-control,neg-control,neg-control
DNA_35_neg,Control_Shade,switchgrass,neg-control,neg-control,neg-control
DNA_36_neg,Control_Shade,switchgrass,neg-control,neg-control,neg-control
DNA_47_neg,Control_Shade,switchgrass,neg-control,neg-control,neg-control
DNA_48_neg,Control_Shade,switchgrass,neg-control,neg-control,neg-control
DNA_69_neg,Control_Shade,switchgrass,neg-control,neg-control,neg-control
DNA_70_neg,Control_Shade,switchgrass,neg-control,neg-control,neg-control
RTSF_NTC_704,RTSF_negcontrol,switchgrass,neg-control,neg-control,neg-control
RTSF_NTC_761,RTSF_negcontrol,switchgrass,neg-control,neg-control,neg-control
DNA_91_neg,Control_Shade,switchgrass,neg-control,neg-control,neg-control
DNA_92_neg,Control_Shade,switchgrass,neg-control,neg-control,neg-control
DNA_103_neg,Control_Shade,switchgrass,neg-control,neg-control,neg-control
DNA_104_neg,Control_Shade,switchgrass,neg-control,neg-control,neg-control
DNA_120_neg,Control_Shade,switchgrass,neg-control,neg-control,neg-control
DNA_121_neg,Control_Shade,switchgrass,neg-control,neg-control,neg-control
DNA_132_neg,Control_Shade,bean,neg-control,neg-control,neg-control
DNA_133_neg,Control_Shade,bean,neg-control,neg-control,neg-control
DNA_144_neg,Control_Shade,bean,neg-control,neg-control,neg-control
DNA_145_neg,Control_Shade,bean,neg-control,neg-control,neg-control
DNA_161_neg,Control_Shade,bean,neg-control,neg-control,neg-control
DNA_162_neg,Control_Shade,bean,neg-control,neg-control,neg-control
RTSF_NTC_751,RTSF_negcontrol,bean,neg-control,neg-control,neg-control
RTSF_NTC_762,RTSF_negcontrol,bean,neg-control,neg-control,neg-control
DNA_178_neg,Control_Shade,bean,neg-control,neg-control,neg-control
DNA_179_neg,Control_Shade,bean,neg-control,neg-control,neg-control
DNA_195_neg,Control_Shade,bean,neg-control,neg-control,neg-control
DNA_196_neg,Control_Shade,bean,neg-control,neg-control,neg-control
DNA_207_neg,Control_Shade,bean,neg-control,neg-control,neg-control
DNA_208_neg,Control_Shade,bean,neg-control,neg-control,neg-control
DNA_224_neg,Control_Shade,bean,neg-control,neg-control,neg-control
DNA_225_neg,Control_Shade,bean,neg-control,neg-control,neg-control
DNA_241_neg,Control_Shade,bean,neg-control,neg-control,neg-control
DNA_242_neg,Control_Shade,bean,neg-control,neg-control,neg-control
RTSF_NTC_753,RTSF_negcontrol,bean,neg-control,neg-control,neg-control
RTSF_NTC_763,RTSF_negcontrol,bean,neg-control,neg-control,neg-control
DNA_253_neg,Control_Shade,bean,neg-control,neg-control,neg-control
DNA_254_neg,Control_Shade,bean,neg-control,neg-control,neg-control
redoDNAbox398_neg1,Control_Shade,bean,neg-control,neg-control,neg-control
redoDNAbox398_neg2,Control_Shade,bean,neg-control,neg-control,neg-control
redoDNAbox401_neg1,Control_Shade,bean,neg-control,neg-control,neg-control
redoDNAbox401_neg2,Control_Shade,bean,neg-control,neg-control,neg-control
redoDNAbox409_neg1,Control_Shade,bean,neg-control,neg-control,neg-control
redoDNAbox414_neg1,Control_Shade,bean,neg-control,neg-control,neg-control
redoDNAbox414_neg2,Control_Shade,bean,neg-control,neg-control,neg-control
RTSF_NTC_755,RTSF_negcontrol,bean,neg-control,neg-control,neg-control